LA.Code,LA.Name,Patient.Count,Patient.Count.QCOVID,Shielders_pct,Shielders_from_QCOVID_pct,decile_imd,quintile_imd,decile_income,quintile_income,RGN19NM,pop19,before_after
E07000031,South Lakeland,4395,,4.18220919610231,,8,4,10,5,North West,105088,before
E06000059,Dorset,15825,,4.18088917539392,,7,4,7,4,South West,378508,before
E07000064,Rother,4015,,4.17880932556203,,5,3,5,3,South East,96080,before
E07000143,Breckland,5835,,4.16881001371742,,5,3,6,3,East of England,139968,before
E07000067,Braintree,6360,,4.16764960289376,,7,4,7,4,East of England,152604,before
E07000109,Gravesham,4450,,4.16125080653457,,4,2,4,2,South East,106939,before
E07000223,Adur,2675,,4.16012192656413,,6,3,6,3,South East,64301,before
E06000013,North Lincolnshire,7165,,4.15863766164419,,4,2,4,2,Yorkshire and The Humber,172292,before
E07000099,North Hertfordshire,5550,,4.15512465373961,,9,5,8,4,East of England,133570,before
E08000034,Kirklees,18245,,4.14859920825309,,3,2,3,2,Yorkshire and The Humber,439787,before
E06000046,Isle of Wight,5825,,4.10873874064513,,4,2,4,2,South East,141771,before
E07000105,Ashford,5340,,4.10668143226283,,5,3,5,3,South East,130032,before
E07000113,Swale,6155,,4.10109140336616,,2,1,3,2,South East,150082,before
E07000246,Somerset West and Taunton,6355,,4.09696031976276,,5,3,6,3,South West,155115,before
E07000072,Epping Forest,5395,,4.09677345867916,,7,4,7,4,East of England,131689,before
E07000175,Newark and Sherwood,4985,,4.072013788484,,5,3,5,3,East Midlands,122421,before
E07000213,Spelthorne,4055,,4.06133568366652,,7,4,8,4,South East,99844,before
E06000045,Southampton,10250,,4.05908442895612,,2,1,4,2,South East,252520,before
E07000120,Hyndburn,3285,,4.05340374862727,,1,1,2,1,North West,81043,before
E07000198,Staffordshire Moorlands,3980,,4.04327728958196,,7,4,7,4,West Midlands,98435,before
E07000148,Norwich,5680,,4.04060523713658,,2,1,2,1,East of England,140573,before
E08000033,Calderdale,8540,,4.03868435364498,,3,2,3,2,Yorkshire and The Humber,211455,before
E92000001,ENGLAND,2269180,,4.03144877549882,,,,,,,56286961,before
E07000082,Stroud,4835,,4.03037577940049,,9,5,8,4,South West,119964,before
E07000037,High Peak,3725,,4.01981309218052,,7,4,6,3,East Midlands,92666,before
E07000079,Cotswold,3580,,3.98388640359663,,9,5,9,5,South West,89862,before
E08000007,Stockport,11685,,3.98230540891477,,5,3,5,3,North West,293423,before
E07000009,East Cambridgeshire,3570,,3.97373107747106,,9,5,9,5,East of England,89840,before
E07000119,Fylde,3200,,3.96137657836098,,7,4,7,4,North West,80780,before
E06000033,Southend-on-Sea,7250,,3.95904436860068,,4,2,3,2,East of England,183125,before
E06000007,Warrington,8295,,3.94973668422105,,5,3,5,3,North West,210014,before
E07000192,Cannock Chase,3965,,3.93501518429567,,5,3,4,2,West Midlands,100762,before
E08000036,Wakefield,13695,,3.93181974781231,,2,1,3,2,Yorkshire and The Humber,348312,before
E08000028,Sandwell,12905,,3.92906073983864,,1,1,1,1,West Midlands,328450,before
E06000058,"Bournemouth, Christchurch and Poole",15530,,3.92835370866439,,6,3,5,3,South West,395331,before
E07000106,Canterbury,6490,,3.9239633844033,,6,3,6,3,South East,165394,before
E08000027,Dudley,12530,,3.89619273871566,,3,2,2,1,West Midlands,321596,before
E06000025,South Gloucestershire,11100,,3.8934663425619,,9,5,8,4,South West,285093,before
E07000121,Lancaster,5680,,3.88939864966653,,3,2,4,2,North West,146038,before
E07000219,Nuneaton and Bedworth,5050,,3.88811468783444,,4,2,4,2,West Midlands,129883,before
E06000016,Leicester,13755,,3.88313609467456,,1,1,1,1,East Midlands,354224,before
E07000151,Daventry,3330,,3.87434554973822,,8,4,9,5,East Midlands,85950,before
E08000009,Trafford,9195,,3.87396041355949,,7,4,6,3,North West,237354,before
E07000062,Hastings,3585,,3.86894162592677,,1,1,1,1,South East,92661,before
