LA.Code,LA.Name,decile_imd,quintile_imd,decile_income,quintile_income,RGN19NM,pop19,Patient.Count_before,Patient.Count_after,Patient.Count.QCOVID_before,Patient.Count.QCOVID_after,Shielders_pct_before,Shielders_pct_after,Shielders_from_QCOVID_pct_before,Shielders_from_QCOVID_pct_after,Patient.Count_diff,Shielders_pct_diff
E07000167,Ryedale,7,4,8,4,Yorkshire and The Humber,55380,2450,3545,,1045,4.42397977609245,6.40122788010112,,29.4781382228491,1095,1.97724810400867
E06000021,Stoke-on-Trent,1,1,1,1,West Midlands,256375,11325,19600,,8005,4.41735738664066,7.64505119453925,,40.8418367346939,8275,3.22769380789859
E07000145,Great Yarmouth,1,1,1,1,East of England,99336,4385,7860,,3370,4.41431102520738,7.91253926069099,,42.8753180661578,3475,3.49822823548361
E06000010,"Kingston upon Hull, City of",1,1,1,1,Yorkshire and The Humber,259778,11435,18625,,6745,4.40183541331445,7.16958325955239,,36.2147651006711,7190,2.76774784623794
E07000088,Gosport,5,3,6,3,South East,84838,3730,6120,,2375,4.39661472453382,7.21374855607157,,38.8071895424837,2390,2.81713383153775
E07000030,Eden,6,3,9,5,North West,53253,2335,3255,,875,4.38472949880758,6.11233169962256,,26.8817204301075,920,1.72760220081498
E07000066,Basildon,4,2,3,2,East of England,187199,8205,13270,,5010,4.38303623416792,7.08871308073227,,37.7543330821402,5065,2.70567684656435
E07000245,West Suffolk,6,3,8,4,East of England,179045,7830,11905,,3990,4.37320226758636,6.64916641067888,,33.5153296934061,4075,2.27596414309252
E07000136,Boston,4,2,4,2,East Midlands,70173,3065,5010,,1900,4.36777678024311,7.13949809755889,,37.9241516966068,1945,2.77172131731578
E07000085,East Hampshire,9,5,10,5,South East,122308,5330,7610,,2205,4.35785067207378,6.2219969257939,,28.9750328515112,2280,1.86414625372012
E08000008,Tameside,1,1,2,1,North West,226493,9860,16485,,6425,4.35333542316981,7.27837063397103,,38.9748255990294,6625,2.92503521080122
E07000033,Bolsover,3,2,3,2,East Midlands,80562,3500,5555,,1995,4.34448002780467,6.89531044412999,,35.9135913591359,2055,2.55083041632532
E08000010,Wigan,3,2,3,2,North West,328662,14265,21600,,7045,4.34032531902076,6.57210142943206,,32.6157407407407,7335,2.2317761104113
E07000174,Mansfield,2,1,2,1,East Midlands,109313,4740,7255,,2435,4.33617227594156,6.63690503416794,,33.5630599586492,2515,2.30073275822638
E06000011,East Riding of Yorkshire,7,4,7,4,Yorkshire and The Humber,341173,14785,23010,,8030,4.333578565713,6.74437895144106,,34.8978704910908,8225,2.41080038572806
E08000018,Rotherham,2,1,2,1,Yorkshire and The Humber,265411,11480,17900,,6315,4.32536707220123,6.74425702024407,,35.2793296089386,6420,2.41888994804285
E07000117,Burnley,1,1,1,1,North West,88920,3845,6265,,2405,4.32411156095367,7.04565901934323,,38.3878691141261,2420,2.72154745838956
E07000063,Lewes,7,4,6,3,South East,103268,4465,7080,,2560,4.32370143703761,6.85594763140566,,36.1581920903955,2615,2.53224619436805
E07000194,Lichfield,8,4,8,4,West Midlands,104756,4470,7255,,2745,4.26705868876246,6.92561762572072,,37.8359751895245,2785,2.65855893695827
E07000080,Forest of Dean,6,3,6,3,South West,86791,3695,5200,,1465,4.25735387309744,5.99140463872982,,28.1730769230769,1505,1.73405076563238
E07000011,Huntingdonshire,8,4,8,4,East of England,177963,7570,11210,,3560,4.25369318341453,6.29906216460725,,31.757359500446,3640,2.04536898119272
E07000168,Scarborough,3,2,3,2,Yorkshire and The Humber,108757,4620,8075,,3380,4.24800242742996,7.42480943755345,,41.8575851393189,3455,3.17680701012349
E06000012,North East Lincolnshire,1,1,1,1,Yorkshire and The Humber,159563,6770,11050,,4170,4.24283825197571,6.92516435514499,,37.737556561086,4280,2.68232610316928
E07000026,Allerdale,4,2,5,3,North West,97761,4140,6655,,2480,4.23481756528677,6.80741809105881,,37.2652141247183,2515,2.57260052577204
E07000149,South Norfolk,8,4,8,4,East of England,140880,5955,8625,,2590,4.22700170357751,6.12223168654174,,30.0289855072464,2670,1.89522998296423
E07000040,East Devon,8,4,8,4,South West,146284,6175,10135,,3875,4.22124087391649,6.92830384731071,,38.2338431179082,3960,2.70706297339422
